iter	Passed	Remaining
0	1	132
1	2	120
2	3	113
3	4	104
4	5	102
5	6	102
6	7	100
7	8	98
8	9	97
9	10	96
10	11	96
11	13	95
12	14	95
13	15	94
14	16	93
15	17	92
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	83
22	24	82
23	25	81
24	26	80
25	28	79
26	29	78
27	29	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	43	62
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	26
74	77	25
75	78	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
