iter	Passed	Remaining
0	170	170466
1	173	86460
2	180	59883
3	182	45323
4	184	36804
5	187	30983
6	190	27082
7	195	24224
8	197	21724
9	199	19752
10	202	18216
11	206	17012
12	210	16017
13	212	14958
14	213	14030
15	214	13219
16	218	12630
17	222	12119
18	226	11675
19	227	11157
20	233	10899
21	235	10477
22	237	10069
23	238	9695
24	239	9348
25	241	9038
26	242	8749
27	246	8549
28	248	8331
29	252	8173
30	254	7946
31	255	7731
32	256	7528
33	262	7467
34	265	7317
35	266	7144
36	268	6998
37	270	6839
38	271	6690
39	272	6548
40	279	6529
41	282	6434
42	285	6352
43	286	6232
44	288	6117
45	289	6007
46	291	5901
47	299	5930
48	300	5831
49	303	5763
50	304	5674
51	306	5581
52	308	5506
53	313	5492
54	314	5410
55	316	5332
56	317	5256
57	319	5193
58	321	5128
59	327	5126
60	330	5087
61	332	5024
62	333	4961
63	334	4897
64	336	4836
65	343	4856
66	344	4801
67	347	4759
68	348	4706
69	350	4652
70	351	4597
71	357	4613
72	359	4569
73	361	4522
74	362	4474
75	365	4437
76	366	4395
77	370	4378
78	372	4337
79	375	4316
80	377	4282
81	379	4243
82	379	4197
83	381	4158
84	387	4167
85	391	4157
86	394	4135
87	401	4162
88	404	4137
89	406	4108
90	408	4081
91	410	4053
92	415	4050
93	418	4030
94	420	4003
95	421	3971
96	423	3939
97	424	3906
98	426	3878
99	430	3875
100	432	3846
101	435	3833
102	436	3804
103	438	3775
104	439	3747
105	447	3778
106	449	3755
107	453	3742
108	454	3715
109	457	3704
110	460	3689
111	462	3663
112	463	3637
113	464	3610
114	465	3584
115	471	3594
116	473	3577
117	475	3556
118	478	3542
119	479	3519
120	481	3497
121	482	3472
122	490	3494
123	491	3472
124	493	3452
125	495	3438
126	496	3415
127	498	3397
128	501	3387
129	506	3389
130	507	3369
131	509	3349
132	512	3343
133	517	3341
134	519	3325
135	520	3305
136	522	3293
137	525	3284
138	527	3269
139	532	3269
140	535	3259
141	536	3239
142	538	3224
143	539	3209
144	541	3195
145	547	3204
146	552	3206
147	554	3190
148	555	3175
149	557	3161
150	563	3167
151	564	3149
152	565	3132
153	567	3117
154	568	3101
155	572	3095
156	573	3080
157	579	3087
158	580	3072
159	582	3057
160	583	3039
161	584	3025
162	588	3020
163	591	3017
164	594	3006
165	595	2994
166	597	2980
167	599	2970
168	601	2956
169	603	2945
170	606	2940
171	608	2931
172	610	2919
173	613	2910
174	615	2900
175	616	2886
176	618	2873
177	622	2873
178	624	2862
179	625	2849
180	626	2835
181	628	2822
182	629	2811
183	631	2799
184	632	2786
185	635	2782
186	637	2771
187	639	2760
188	640	2748
189	641	2736
190	643	2724
191	644	2712
192	645	2700
193	647	2690
194	650	2684
195	652	2674
196	653	2663
197	654	2651
198	656	2642
199	657	2630
200	658	2619
201	660	2608
202	661	2597
203	662	2586
204	666	2585
205	668	2575
206	670	2567
207	672	2558
208	674	2551
209	675	2542
210	677	2533
211	680	2530
212	682	2523
213	684	2513
214	686	2506
215	688	2498
216	689	2488
217	692	2482
218	696	2483
219	697	2473
220	698	2463
221	701	2456
222	702	2447
223	704	2442
224	706	2433
225	709	2430
226	711	2423
227	713	2416
228	715	2409
229	718	2406
230	720	2399
231	723	2396
232	726	2390
233	728	2385
234	731	2379
235	734	2377
236	735	2369
237	737	2360
238	741	2359
239	742	2351
240	743	2342
241	745	2335
242	746	2326
243	748	2319
244	749	2310
245	751	2302
246	752	2293
247	754	2287
248	756	2281
249	757	2273
250	759	2265
251	760	2256
252	761	2249
253	763	2243
254	767	2241
255	770	2237
256	771	2229
257	772	2222
258	774	2216
259	776	2210
260	777	2202
261	779	2194
262	782	2191
263	783	2184
264	784	2177
265	786	2171
266	788	2163
267	789	2155
268	790	2148
269	792	2141
270	793	2133
271	794	2127
272	797	2122
273	798	2115
274	799	2108
275	801	2101
276	802	2095
277	804	2088
278	805	2081
279	806	2074
280	808	2068
281	811	2065
282	813	2060
283	814	2052
284	816	2048
285	818	2042
286	819	2037
287	821	2031
288	823	2025
289	825	2021
290	827	2016
291	829	2010
292	830	2003
293	832	1999
294	834	1993
295	835	1987
296	836	1981
297	838	1974
298	842	1974
299	843	1967
300	844	1962
301	846	1957
302	848	1951
303	849	1945
304	851	1939
305	852	1933
306	854	1929
307	856	1924
308	857	1918
309	859	1912
310	861	1907
311	862	1902
312	863	1896
313	865	1890
314	866	1884
315	867	1878
316	870	1876
317	872	1871
318	873	1865
319	875	1860
320	876	1854
321	877	1848
322	879	1843
323	880	1837
324	882	1831
325	885	1830
326	887	1827
327	890	1824
328	893	1822
329	895	1817
330	897	1813
331	900	1810
332	903	1808
333	906	1808
334	908	1802
335	909	1797
336	912	1794
337	915	1792
338	916	1787
339	919	1785
340	921	1779
341	922	1775
342	924	1770
343	925	1765
344	931	1767
345	933	1764
346	935	1760
347	937	1755
348	938	1750
349	940	1745
350	941	1741
351	946	1741
352	949	1739
353	951	1735
354	952	1730
355	953	1725
356	955	1720
357	956	1715
358	960	1715
359	962	1711
360	965	1708
361	966	1703
362	968	1699
363	970	1695
364	972	1691
365	975	1689
366	976	1684
367	977	1679
368	980	1677
369	982	1672
370	983	1667
371	985	1663
372	988	1662
373	990	1658
374	993	1655
375	994	1650
376	995	1645
377	998	1643
378	1000	1638
379	1004	1639
380	1006	1634
381	1008	1631
382	1011	1629
383	1012	1624
384	1013	1619
385	1018	1619
386	1020	1616
387	1023	1613
388	1027	1614
389	1033	1616
390	1035	1613
391	1038	1611
392	1040	1606
393	1043	1604
394	1045	1600
395	1048	1599
396	1050	1595
397	1052	1592
398	1054	1588
399	1056	1585
400	1058	1580
401	1059	1576
402	1062	1574
403	1063	1569
404	1066	1567
405	1069	1564
406	1070	1559
407	1072	1555
408	1074	1552
409	1077	1550
410	1079	1546
411	1080	1542
412	1082	1538
413	1083	1534
414	1085	1529
415	1086	1525
416	1087	1520
417	1088	1516
418	1091	1513
419	1093	1509
420	1094	1505
421	1095	1500
422	1097	1496
423	1098	1492
424	1099	1487
425	1101	1483
426	1102	1479
427	1103	1475
428	1107	1473
429	1108	1469
430	1109	1465
431	1111	1461
432	1112	1457
433	1114	1454
434	1117	1451
435	1125	1455
436	1130	1456
437	1133	1454
438	1139	1456
439	1142	1454
440	1146	1452
441	1148	1449
442	1164	1463
443	1168	1463
444	1175	1466
445	1179	1465
446	1186	1468
447	1191	1468
448	1194	1465
449	1204	1471
450	1210	1473
451	1226	1486
452	1233	1488
453	1236	1487
454	1241	1486
455	1252	1494
456	1264	1502
457	1267	1499
458	1273	1500
459	1282	1506
460	1285	1503
461	1294	1507
462	1297	1505
463	1300	1502
464	1303	1499
465	1311	1502
466	1315	1501
467	1318	1498
468	1326	1502
469	1329	1499
470	1332	1496
471	1338	1497
472	1340	1494
473	1345	1493
474	1349	1492
475	1356	1493
476	1359	1491
477	1363	1488
478	1368	1488
479	1370	1484
480	1380	1489
481	1385	1488
482	1386	1484
483	1388	1480
484	1395	1482
485	1397	1477
486	1399	1474
487	1402	1471
488	1404	1467
489	1411	1468
490	1413	1465
491	1415	1461
492	1417	1457
493	1421	1455
494	1425	1454
495	1427	1450
496	1428	1446
497	1430	1442
498	1432	1437
499	1434	1434
500	1437	1431
501	1441	1429
502	1443	1426
503	1445	1422
504	1447	1418
505	1449	1414
506	1455	1415
507	1457	1411
508	1461	1409
509	1463	1406
510	1465	1402
511	1469	1400
512	1474	1399
513	1476	1396
514	1483	1396
515	1486	1394
516	1490	1392
517	1491	1388
518	1498	1389
519	1501	1385
520	1503	1382
521	1505	1378
522	1507	1375
523	1513	1375
524	1517	1373
525	1520	1370
526	1522	1366
527	1528	1366
528	1530	1363
529	1532	1359
530	1535	1356
531	1537	1352
532	1539	1348
533	1545	1348
534	1547	1345
535	1550	1342
536	1553	1339
537	1555	1335
538	1558	1333
539	1560	1329
540	1562	1325
541	1563	1321
542	1565	1317
543	1567	1313
544	1568	1309
545	1570	1305
546	1573	1303
547	1575	1299
548	1576	1295
549	1577	1290
550	1579	1286
551	1580	1283
552	1582	1278
553	1583	1274
554	1584	1270
555	1587	1268
556	1590	1265
557	1593	1261
558	1594	1257
559	1595	1253
560	1597	1250
561	1599	1246
562	1603	1244
563	1605	1240
564	1607	1237
565	1608	1233
566	1610	1229
567	1611	1225
568	1612	1221
569	1614	1217
570	1617	1215
571	1619	1211
572	1621	1207
573	1622	1203
574	1624	1201
575	1628	1198
576	1630	1195
577	1634	1193
578	1636	1189
579	1638	1186
580	1640	1183
581	1642	1179
582	1644	1176
583	1646	1172
584	1649	1170
585	1651	1166
586	1653	1163
587	1655	1159
588	1656	1155
589	1658	1152
590	1661	1149
591	1663	1146
592	1665	1143
593	1667	1139
594	1669	1136
595	1670	1132
596	1671	1128
597	1673	1124
598	1677	1122
599	1678	1119
600	1680	1115
601	1681	1111
602	1683	1108
603	1685	1105
604	1687	1101
605	1690	1099
606	1693	1096
607	1696	1093
608	1697	1090
609	1699	1086
610	1700	1082
611	1701	1078
612	1705	1076
613	1709	1074
614	1711	1071
615	1713	1068
616	1715	1064
617	1716	1061
618	1723	1060
619	1724	1057
620	1726	1053
621	1729	1050
622	1731	1047
623	1733	1044
624	1736	1041
625	1738	1038
626	1740	1035
627	1742	1032
628	1744	1028
629	1745	1025
630	1749	1022
631	1751	1019
632	1753	1016
633	1757	1014
634	1758	1010
635	1760	1007
636	1765	1005
637	1767	1002
638	1768	999
639	1770	995
640	1773	993
641	1774	989
642	1776	986
643	1778	983
644	1782	981
645	1784	977
646	1785	974
647	1787	970
648	1788	967
649	1792	965
650	1793	961
651	1795	958
652	1796	954
653	1799	951
654	1801	948
655	1802	945
656	1804	941
657	1808	940
658	1810	936
659	1811	933
660	1814	930
661	1816	927
662	1818	924
663	1819	920
664	1822	918
665	1826	915
666	1828	912
667	1829	909
668	1831	905
669	1832	902
670	1833	899
671	1836	896
672	1837	893
673	1839	889
674	1840	886
675	1842	883
676	1843	879
677	1844	876
678	1846	872
679	1847	869
680	1848	865
681	1851	863
682	1853	860
683	1855	857
684	1857	854
685	1859	851
686	1860	847
687	1862	844
688	1863	841
689	1865	838
690	1867	834
691	1868	831
692	1870	828
693	1871	825
694	1872	821
695	1873	818
696	1874	814
697	1875	811
698	1876	808
699	1878	805
700	1882	802
701	1883	799
702	1884	796
703	1885	792
704	1887	789
705	1888	786
706	1889	783
707	1890	779
708	1891	776
709	1892	773
710	1893	769
711	1897	767
712	1898	764
713	1899	760
714	1900	757
715	1901	754
716	1902	751
717	1904	747
718	1905	744
719	1906	741
720	1907	738
721	1908	734
722	1911	732
723	1912	729
724	1913	725
725	1914	722
726	1916	719
727	1917	716
728	1918	713
729	1919	710
730	1921	706
731	1922	703
732	1924	701
733	1925	697
734	1926	694
735	1927	691
736	1928	688
737	1930	685
738	1931	682
739	1932	679
740	1933	675
741	1934	672
742	1935	669
743	1936	666
744	1939	663
745	1940	660
746	1941	657
747	1942	654
748	1943	651
749	1944	648
750	1945	645
751	1946	642
752	1948	639
753	1949	636
754	1950	632
755	1951	629
756	1954	627
757	1955	624
758	1957	621
759	1958	618
760	1959	615
761	1961	612
762	1962	609
763	1963	606
764	1964	603
765	1965	600
766	1967	597
767	1968	594
768	1969	591
769	1970	588
770	1971	585
771	1972	582
772	1974	579
773	1975	576
774	1976	573
775	1977	570
776	1978	567
777	1980	565
778	1982	562
779	1984	559
780	1985	556
781	1986	553
782	1987	550
783	1988	547
784	1989	544
785	1991	542
786	1992	539
787	1993	536
788	1994	533
789	1995	530
790	1997	527
791	1999	525
792	2000	522
793	2001	519
794	2003	516
795	2004	513
796	2005	510
797	2006	508
798	2008	505
799	2009	502
800	2010	499
801	2012	496
802	2013	493
803	2014	491
804	2015	488
805	2016	485
806	2017	482
807	2019	479
808	2020	476
809	2021	474
810	2022	471
811	2023	468
812	2024	465
813	2027	463
814	2028	460
815	2030	457
816	2031	454
817	2032	452
818	2033	449
819	2034	446
820	2035	443
821	2036	441
822	2038	438
823	2039	435
824	2041	432
825	2042	430
826	2043	427
827	2044	424
828	2045	422
829	2047	419
830	2048	416
831	2049	413
832	2050	411
833	2051	408
834	2053	405
835	2054	402
836	2056	400
837	2057	397
838	2058	395
839	2059	392
840	2060	389
841	2062	386
842	2063	384
843	2064	381
844	2065	378
845	2066	376
846	2067	373
847	2068	370
848	2071	368
849	2072	365
850	2073	363
851	2074	360
852	2075	357
853	2076	355
854	2077	352
855	2079	349
856	2080	347
857	2081	344
858	2082	341
859	2083	339
860	2086	336
861	2087	334
862	2088	331
863	2089	328
864	2090	326
865	2091	323
866	2092	321
867	2093	318
868	2094	315
869	2096	313
870	2097	310
871	2098	308
872	2100	305
873	2102	303
874	2103	300
875	2104	297
876	2107	295
877	2108	292
878	2109	290
879	2110	287
880	2111	285
881	2112	282
882	2113	280
883	2115	277
884	2116	275
885	2117	272
886	2118	269
887	2119	267
888	2120	264
889	2121	262
890	2123	259
891	2124	257
892	2125	254
893	2126	252
894	2127	249
895	2129	247
896	2130	244
897	2131	242
898	2132	239
899	2133	237
900	2134	234
901	2135	232
902	2137	229
903	2138	227
904	2139	224
905	2140	222
